Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)",Analyte
Molybdenum (7439-98-7),7439-98-7,39,n,580,n,        ,,        ,,10,n,,0.2,n,,Molybdenum
Monochloramine (10599-90-3),10599-90-3,780,n,12000,n,        ,,        ,,200,n,4000,        ,n,,Monochloramine
Monomethylaniline (100-61-8),100-61-8,13,n,160,n,        ,,        ,,3.8,n,,0.0014,n,,Monomethylaniline
Myclobutanil (88671-89-0),88671-89-0,160,n,2100,n,        ,,        ,,45,n,,0.56,n,,Myclobutanil
"N,N'-Diphenyl-1,4-benzenediamine (74-31-7)",74-31-7,1.9,n,25,n,        ,,        ,,0.36,n,,0.037,n,,"N,N'-Diphenyl-1,4-benzenediamine"
Naled (300-76-5),300-76-5,16,n,230,n,        ,,        ,,4,n,,0.0018,n,,Naled
"Naphtha, High Flash Aromatic (HFAN) (64742-95-6)",64742-95-6,230,n,3500,n,10,n,44,n,15,n,,        ,n,,"Naphtha, High Flash Aromatic (HFAN)"
"Naphthylamine, 2- (91-59-8)",91-59-8,0.3,c,1.3,c,        ,,        ,,0.039,c,,0.0002,c,,"Naphthylamine, 2-"
Napropamide (15299-99-7),15299-99-7,760,n,9800,n,        ,,        ,,200,n,,1.3,n,,Napropamide
Nickel Acetate (373-02-4),373-02-4,67,n,810,n,0.0015,n,0.0061,n,22,n,,0.0045,n,,Nickel Acetate
Nickel Carbonate (3333-67-3),3333-67-3,67,n,810,n,0.0015,n,0.0061,n,22,n,,        ,n,,Nickel Carbonate
Nickel Carbonyl (13463-39-3),13463-39-3,82,n,1100,n,0.0015,n,0.0061,n,0.0029,n,,        ,n,,Nickel Carbonyl
Nickel Hydroxide (12054-48-7),12054-48-7,82,n,1100,n,0.0015,n,0.0061,n,20,n,,        ,n,,Nickel Hydroxide
Nickel Oxide (1313-99-1),1313-99-1,84,n,1200,n,0.0021,n,0.0088,n,20,n,,        ,n,,Nickel Oxide
Nickel Refinery Dust (E715532),E715532,82,n,1100,n,0.0015,n,0.0061,n,22,n,,3.2,n,,Nickel Refinery Dust
Nickel Soluble Salts (7440-02-0),7440-02-0,150,n,2200,n,0.0094,n,0.039,n,39,n,,2.6,n,,Nickel Soluble Salts
Nickel Subsulfide (12035-72-2),12035-72-2,0.41,c,1.9,c,0.0015,n,0.0061,n,0.045,c,,        ,c,,Nickel Subsulfide
Nickelocene (1271-28-9),1271-28-9,67,n,810,n,0.0015,n,0.0061,n,22,n,,        ,n,,Nickelocene
Nitrate (14797-55-8),14797-55-8,13000,n,190000,nm,        ,,        ,,3200,n,10000,        ,n,,Nitrate
Nitrate + Nitrite (as N) (E701177),E701177,        ,,        ,,        ,,        ,,        ,,10000,        ,,,Nitrate + Nitrite (as N)
Nitrite (14797-65-0),14797-65-0,780,n,12000,n,        ,,        ,,200,n,1000,        ,n,,Nitrite
"Nitroaniline, 2- (88-74-4)",88-74-4,63,n,800,n,0.0052,n,0.022,n,19,n,,0.008,n,,"Nitroaniline, 2-"
"Nitroaniline, 4- (100-01-6)",100-01-6,25,n,110,c**,0.63,n,2.6,n,3.8,c**,,0.0016,c**,,"Nitroaniline, 4-"
Nitrobenzene (98-95-3),98-95-3,5.1,c**,22,c**,0.07,c*,0.31,c*,0.14,c**,,9.2E-05,c**,,Nitrobenzene
Nitrocellulose (9004-70-0),9004-70-0,19000000,nm,250000000,nm,        ,,        ,,6000000,n,,1300,n,,Nitrocellulose
Nitrofurantoin (67-20-9),67-20-9,440,n,5700,n,        ,,        ,,140,n,,0.061,n,,Nitrofurantoin
Nitrofurazone (59-87-0),59-87-0,0.42,c,1.8,c,0.0076,c,0.033,c,0.06,c,,5.4E-05,c,,Nitrofurazone
Nitroglycerin (55-63-0),55-63-0,0.63,n,8.2,n,        ,,        ,,0.2,n,,8.5E-05,n,,Nitroglycerin
Nitroguanidine (556-88-7),556-88-7,630,n,8200,n,        ,,        ,,200,n,,0.048,n,,Nitroguanidine
Nitromethane (75-52-5),75-52-5,5.4,c**,24,c**,0.32,c**,1.4,c**,0.64,c**,,0.00014,c**,,Nitromethane
"Nitropropane, 2- (79-46-9)",79-46-9,0.014,c,0.06,c,0.001,c,0.0045,c,0.0021,c,,5.4E-07,c,,"Nitropropane, 2-"
"Nitrosodiethanolamine, N- (1116-54-7)",1116-54-7,0.19,c,0.82,c,0.0035,c,0.015,c,0.028,c,,5.6E-06,c,,"Nitrosodiethanolamine, N-"
"Nitrosodiethylamine, N- (55-18-5)",55-18-5,0.00081,c,0.015,c,2.4E-05,c,0.00029,c,0.00017,c,,6.1E-08,c,,"Nitrosodiethylamine, N-"
"Nitrosodimethylamine, N- (62-75-9)",62-75-9,0.002,c*,0.034,c*,7.2E-05,c*,0.00088,c*,0.00011,c*,,2.7E-08,c*,,"Nitrosodimethylamine, N-"
"Nitroso-di-N-butylamine, N- (924-16-3)",924-16-3,0.099,c,0.46,c,0.0018,c,0.0077,c,0.0027,c,,5.5E-06,c,,"Nitroso-di-N-butylamine, N-"
"Nitroso-di-N-propylamine, N- (621-64-7)",621-64-7,0.078,c,0.33,c,0.0014,c,0.0061,c,0.011,c,,8.1E-06,c,,"Nitroso-di-N-propylamine, N-"
"Nitrosodiphenylamine, N- (86-30-6)",86-30-6,110,c,470,c,1.1,c,4.7,c,12,c,,0.067,c,,"Nitrosodiphenylamine, N-"
"Nitrosomethylethylamine, N- (10595-95-6)",10595-95-6,0.02,c,0.091,c,0.00045,c,0.0019,c,0.00071,c,,2E-07,c,,"Nitrosomethylethylamine, N-"
Nitrosomorpholine [N-] (59-89-2),59-89-2,0.081,c,0.34,c,0.0015,c,0.0065,c,0.012,c,,2.8E-06,c,,Nitrosomorpholine [N-]
"Nitroso-N-ethylurea, N- (759-73-9)",759-73-9,0.0045,c,0.085,c,0.00013,c,0.0016,c,0.00092,c,,2.2E-07,c,,"Nitroso-N-ethylurea, N-"
"Nitroso-N-methylurea, N- (684-93-5)",684-93-5,0.001,c,0.019,c,3E-05,c,0.00036,c,0.00021,c,,4.6E-08,c,,"Nitroso-N-methylurea, N-"
Nitrosopiperidine [N-] (100-75-4),100-75-4,0.058,c,0.24,c,0.001,c,0.0045,c,0.0082,c,,4.4E-06,c,,Nitrosopiperidine [N-]
"Nitrosopyrrolidine, N- (930-55-2)",930-55-2,0.26,c,1.1,c,0.0046,c,0.02,c,0.037,c,,1.4E-05,c,,"Nitrosopyrrolidine, N-"
"Nitrotoluene, m- (99-08-1)",99-08-1,0.63,n,8.2,n,        ,,        ,,0.17,n,,0.00016,n,,"Nitrotoluene, m-"
"Nitrotoluene, o- (88-72-2)",88-72-2,3.2,c**,15,c**,        ,,        ,,0.31,c**,,0.0003,c**,,"Nitrotoluene, o-"
"Nitrotoluene, p- (99-99-0)",99-99-0,25,n,140,c**,        ,,        ,,4.3,c**,,0.004,c**,,"Nitrotoluene, p-"
"Nonane, n- (111-84-2)",111-84-2,1.1,n,7.2,ns,2.1,n,8.8,n,0.53,n,,0.0075,n,,"Nonane, n-"
Norflurazon (27314-13-2),27314-13-2,95,n,1200,n,        ,,        ,,29,n,,0.19,n,,Norflurazon
Octabromodiphenyl Ether (32536-52-0),32536-52-0,19,n,250,n,        ,,        ,,6,n,,1.2,n,,Octabromodiphenyl Ether
"Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX) (2691-41-0)",2691-41-0,390,n,5700,n,        ,,        ,,100,n,,0.13,n,,"Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX)"
Octamethylpyrophosphoramide (152-16-9),152-16-9,13,n,160,n,        ,,        ,,4,n,,0.00096,n,,Octamethylpyrophosphoramide
Oryzalin (19044-88-3),19044-88-3,70,c*,290,c*,        ,,        ,,7.9,c*,,0.015,c*,,Oryzalin
Oxadiazon (19666-30-9),19666-30-9,32,n,410,n,        ,,        ,,4.7,n,,0.048,n,,Oxadiazon
Oxamyl (23135-22-0),23135-22-0,160,n,2100,n,        ,,        ,,50,n,200,0.011,n,0.044,Oxamyl
Oxyfluorfen (42874-03-3),42874-03-3,7.4,c*,31,c*,        ,,        ,,0.54,c*,,0.043,c*,,Oxyfluorfen
Paclobutrazol (76738-62-0),76738-62-0,82,n,1100,n,        ,,        ,,23,n,,0.046,n,,Paclobutrazol
Paraquat Dichloride (1910-42-5),1910-42-5,28,n,370,n,        ,,        ,,9,n,,0.12,n,,Paraquat Dichloride
Parathion (56-38-2),56-38-2,38,n,490,n,        ,,        ,,8.6,n,,0.043,n,,Parathion
Pebulate (1114-71-2),1114-71-2,390,n,5800,n,        ,,        ,,56,n,,0.045,n,,Pebulate
Pendimethalin (40487-42-1),40487-42-1,1900,n,25000,n,        ,,        ,,140,n,,1.6,n,,Pendimethalin
Pentabromodiphenyl Ether (32534-81-9),32534-81-9,16,ns,230,ns,        ,,        ,,4,n,,0.17,n,,Pentabromodiphenyl Ether
"Pentabromodiphenyl ether, 2,2',4,4',5- (BDE-99) (60348-60-9)",60348-60-9,0.63,n,8.2,n,        ,,        ,,0.2,n,,0.0087,n,,"Pentabromodiphenyl ether, 2,2',4,4',5- (BDE-99)"
Pentachlorobenzene (608-93-5),608-93-5,6.3,n,93,n,        ,,        ,,0.32,n,,0.0024,n,,Pentachlorobenzene
Pentachloroethane (76-01-7),76-01-7,7.7,c,36,c,        ,,        ,,0.65,c,,0.00031,c,,Pentachloroethane
Pentachloronitrobenzene (82-68-8),82-68-8,2.7,c**,13,c*,        ,,        ,,0.12,c*,,0.0015,c*,,Pentachloronitrobenzene
Pentachlorophenol (87-86-5),87-86-5,1,c*,4,c*,0.55,c,2.4,c,0.041,c*,1,5.7E-05,c*,0.0014,Pentachlorophenol
Pentaerythritol tetranitrate (PETN) (78-11-5),78-11-5,13,n,160,n,        ,,        ,,3.9,n,,0.0058,n,,Pentaerythritol tetranitrate (PETN)
"Pentane, n- (109-66-0)",109-66-0,81,n,340,n,100,n,440,n,210,n,,1,n,,"Pentane, n-"
Perfluorobutane sulfonic acid (PFBS) (375-73-5),375-73-5,130,n,1600,n,        ,,        ,,40,n,,0.013,n,,Perfluorobutane sulfonic acid (PFBS)
Perfluorobutanesulfonate (45187-15-3),45187-15-3,130,n,1600,n,        ,,        ,,40,n,,0.013,n,,Perfluorobutanesulfonate
Permethrin (52645-53-1),52645-53-1,320,n,4100,n,        ,,        ,,100,n,,24,n,,Permethrin
Phenacetin (62-44-2),62-44-2,250,c,1000,c,4.5,c,19,c,34,c,,0.0097,c,,Phenacetin
Phenmedipham (13684-63-4),13684-63-4,1500,n,20000,n,        ,,        ,,380,n,,2.1,n,,Phenmedipham
Phenol (108-95-2),108-95-2,1900,n,25000,n,21,n,88,n,580,n,,0.33,n,,Phenol
"Phenol, 2-(1-methylethoxy)-, methylcarbamate (114-26-1)",114-26-1,25,n,330,n,        ,,        ,,7.8,n,,0.0025,n,,"Phenol, 2-(1-methylethoxy)-, methylcarbamate"
Phenothiazine (92-84-2),92-84-2,3.2,n,41,n,        ,,        ,,0.43,n,,0.0014,n,,Phenothiazine
Phenyl Isothiocyanate (103-72-0),103-72-0,1.6,n,23,n,        ,,        ,,0.26,n,,0.00017,n,,Phenyl Isothiocyanate
"Phenylenediamine, m- (108-45-2)",108-45-2,38,n,490,n,        ,,        ,,12,n,,0.0032,n,,"Phenylenediamine, m-"
"Phenylenediamine, o- (95-54-5)",95-54-5,4.5,c**,19,c*,        ,,        ,,0.65,c*,,0.00017,c*,,"Phenylenediamine, o-"
"Phenylenediamine, p- (106-50-3)",106-50-3,6.3,n,82,n,        ,,        ,,2,n,,0.00054,n,,"Phenylenediamine, p-"
"Phenylphenol, 2- (90-43-7)",90-43-7,280,c,1200,c,        ,,        ,,30,c,,0.41,c,,"Phenylphenol, 2-"
Phorate (298-02-2),298-02-2,1.3,n,16,n,        ,,        ,,0.3,n,,0.00034,n,,Phorate
Phosgene (75-44-5),75-44-5,0.031,n,0.13,n,0.031,n,0.13,n,        ,,,        ,,,Phosgene
Phosmet (732-11-6),732-11-6,130,n,1600,n,        ,,        ,,37,n,,0.0082,n,,Phosmet
Phosphine (7803-51-2),7803-51-2,2.3,n,35,n,0.031,n,0.13,n,0.057,n,,        ,n,,Phosphine
Phosphoric Acid (7664-38-2),7664-38-2,300000,nm,2900000,nm,1,n,4.4,n,97000,n,,        ,n,,Phosphoric Acid
"Phosphorus, White (7723-14-0)",7723-14-0,0.16,n,2.3,n,        ,,        ,,0.04,n,,0.00015,n,,"Phosphorus, White"
Picloram (1918-02-1),1918-02-1,440,n,5700,n,        ,,        ,,140,n,500,0.038,n,0.14,Picloram
"Picramic Acid (2-Amino-4,6-dinitrophenol) (96-91-3)",96-91-3,0.63,n,8.2,n,        ,,        ,,0.2,n,,0.00013,n,,"Picramic Acid (2-Amino-4,6-dinitrophenol)"
"Picric Acid (2,4,6-Trinitrophenol) (88-89-1)",88-89-1,5.7,n,74,n,        ,,        ,,1.8,n,,0.0084,n,,"Picric Acid (2,4,6-Trinitrophenol)"
"Pirimiphos, Methyl (29232-93-7)",29232-93-7,0.44,n,5.7,n,        ,,        ,,0.085,n,,8.1E-05,n,,"Pirimiphos, Methyl"
Polybrominated Biphenyls (59536-65-1),59536-65-1,0.018,c**,0.077,c**,0.00033,c,0.0014,c,0.0026,c**,,        ,c**,,Polybrominated Biphenyls
Polymeric Methylene Diphenyl Diisocyanate (PMDI) (9016-87-9),9016-87-9,85000,n,360000,nm,0.063,n,0.26,n,        ,,,        ,,,Polymeric Methylene Diphenyl Diisocyanate (PMDI)
Potassium Perfluorobutane Sulfonate (29420-49-3),29420-49-3,130,n,1600,n,        ,,        ,,40,n,,        ,n,,Potassium Perfluorobutane Sulfonate
Prochloraz (67747-09-5),67747-09-5,3.6,c*,15,c*,        ,,        ,,0.38,c*,,0.0019,c*,,Prochloraz
Profluralin (26399-36-0),26399-36-0,47,n,700,n,        ,,        ,,2.6,n,,0.16,n,,Profluralin
Prometon (1610-18-0),1610-18-0,95,n,1200,n,        ,,        ,,25,n,,0.012,n,,Prometon
Prometryn (7287-19-6),7287-19-6,250,n,3300,n,        ,,        ,,60,n,,0.09,n,,Prometryn
Propachlor (1918-16-7),1918-16-7,82,n,1100,n,        ,,        ,,25,n,,0.015,n,,Propachlor
Propanil (709-98-8),709-98-8,32,n,410,n,        ,,        ,,8.2,n,,0.0045,n,,Propanil
Propargite (2312-35-8),2312-35-8,2.8,c*,12,c,        ,,        ,,0.16,c,,0.011,c,,Propargite
Propargyl Alcohol (107-19-7),107-19-7,16,n,230,n,        ,,        ,,4,n,,0.00081,n,,Propargyl Alcohol
Propazine (139-40-2),139-40-2,130,n,1600,n,        ,,        ,,34,n,,0.03,n,,Propazine
Propham (122-42-9),122-42-9,130,n,1600,n,        ,,        ,,35,n,,0.022,n,,Propham
Propiconazole (60207-90-1),60207-90-1,630,n,8200,n,        ,,        ,,160,n,,0.53,n,,Propiconazole
Propionaldehyde (123-38-6),123-38-6,7.5,n,31,n,0.83,n,3.5,n,1.7,n,,0.00034,n,,Propionaldehyde
Propyl benzene (103-65-1),103-65-1,380,ns,2400,ns,100,n,440,n,66,n,,0.12,n,,Propyl benzene
Propylene (115-07-1),115-07-1,220,n,930,ns,310,n,1300,n,630,n,,0.6,n,,Propylene
Propylene Glycol (57-55-6),57-55-6,130000,nm,1600000,nm,        ,,        ,,40000,n,,8.1,n,,Propylene Glycol
Propylene Glycol Dinitrate (6423-43-4),6423-43-4,39000,n,160000,nm,0.028,n,0.12,n,        ,,,        ,,,Propylene Glycol Dinitrate
Propylene Glycol Monomethyl Ether (107-98-2),107-98-2,4100,n,37000,n,210,n,880,n,320,n,,0.065,n,,Propylene Glycol Monomethyl Ether
Propylene Oxide (75-56-9),75-56-9,2.1,c*,9.7,c*,0.76,c**,3.3,c**,0.27,c*,,5.6E-05,c*,,Propylene Oxide
Propyzamide (23950-58-5),23950-58-5,470,n,6200,n,        ,,        ,,120,n,,0.12,n,,Propyzamide
Pyridine (110-86-1),110-86-1,7.8,n,120,n,        ,,        ,,2,n,,0.00068,n,,Pyridine
Quinalphos (13593-03-8),13593-03-8,3.2,n,41,n,        ,,        ,,0.51,n,,0.0043,n,,Quinalphos
Quinoline (91-22-5),91-22-5,0.18,c,0.77,c,        ,,        ,,0.024,c,,7.8E-05,c,,Quinoline
Quizalofop-ethyl (76578-14-8),76578-14-8,57,n,740,n,        ,,        ,,12,n,,0.19,n,,Quizalofop-ethyl
Refractory Ceramic Fibers (E715557),E715557,4300000,nm,18000000,nm,3.1,n,13,n,        ,,,        ,,,Refractory Ceramic Fibers
Resmethrin (10453-86-8),10453-86-8,190,n,2500,n,        ,,        ,,6.7,n,,4.2,n,,Resmethrin
Ronnel (299-84-3),299-84-3,390,n,5800,n,        ,,        ,,41,n,,0.37,n,,Ronnel
Rotenone (83-79-4),83-79-4,25,n,330,n,        ,,        ,,6.1,n,,3.2,n,,Rotenone
Safrole (94-59-7),94-59-7,0.55,c,10,c,0.016,c,0.19,c,0.096,c,,5.9E-05,c,,Safrole
Selenious Acid (7783-00-8),7783-00-8,39,n,580,n,        ,,        ,,10,n,,        ,n,,Selenious Acid
Selenium (7782-49-2),7782-49-2,39,n,580,n,2.1,n,8.8,n,10,n,50,0.052,n,0.26,Selenium
Selenium Sulfide (7446-34-6),7446-34-6,39,n,580,n,2.1,n,8.8,n,10,n,,        ,n,,Selenium Sulfide
Sethoxydim (74051-80-2),74051-80-2,880,n,11000,n,        ,,        ,,160,n,,1.4,n,,Sethoxydim
"Silica (crystalline, respirable) (7631-86-9)",7631-86-9,430000,nm,1800000,nm,0.31,n,1.3,n,        ,,,        ,,,"Silica (crystalline, respirable)"
Silver (7440-22-4),7440-22-4,39,n,580,n,        ,,        ,,9.4,n,,0.08,n,,Silver
Simazine (122-34-9),122-34-9,4.5,c**,19,c*,        ,,        ,,0.61,c*,4,0.0003,c*,0.002,Simazine
Sodium Acifluorfen (62476-59-9),62476-59-9,82,n,1100,n,        ,,        ,,26,n,,0.21,n,,Sodium Acifluorfen
Sodium Azide (26628-22-8),26628-22-8,31,n,470,n,        ,,        ,,8,n,,        ,n,,Sodium Azide
Sodium Diethyldithiocarbamate (148-18-5),148-18-5,2,c*,8.5,c,        ,,        ,,0.29,c,,0.00018,c,,Sodium Diethyldithiocarbamate
Sodium Fluoride (7681-49-4),7681-49-4,390,n,5800,n,1.4,n,5.7,n,100,n,4000,        ,n,,Sodium Fluoride
Sodium Fluoroacetate (62-74-8),62-74-8,0.13,n,1.6,n,        ,,        ,,0.04,n,,8.1E-06,n,,Sodium Fluoroacetate
Sodium Metavanadate (13718-26-8),13718-26-8,7.8,n,120,n,        ,,        ,,2,n,,        ,n,,Sodium Metavanadate
Sodium Tungstate (13472-45-2),13472-45-2,6.3,n,93,n,        ,,        ,,1.6,n,,        ,n,,Sodium Tungstate
Sodium Tungstate Dihydrate (10213-10-2),10213-10-2,6.3,n,93,n,        ,,        ,,1.6,n,,        ,n,,Sodium Tungstate Dihydrate
Stirofos (Tetrachlorovinphos) (961-11-5),961-11-5,23,c**,96,c*,        ,,        ,,2.8,c*,,0.0082,c*,,Stirofos (Tetrachlorovinphos)
"Strontium, Stable (7440-24-6)",7440-24-6,4700,n,70000,n,        ,,        ,,1200,n,,42,n,,"Strontium, Stable"
Strychnine (57-24-9),57-24-9,1.9,n,25,n,        ,,        ,,0.59,n,,0.0065,n,,Strychnine
Styrene (100-42-5),100-42-5,600,n,3500,ns,100,n,440,n,120,n,100,0.13,n,0.11,Styrene
Styrene-Acrylonitrile (SAN) Trimer (),,19,n,250,n,        ,,        ,,4.8,n,,        ,n,,Styrene-Acrylonitrile (SAN) Trimer
Sulfolane (126-33-0),126-33-0,6.3,n,82,n,0.21,n,0.88,n,2,n,,0.00044,n,,Sulfolane
"Sulfonylbis(4-chlorobenzene), 1,1'- (80-07-9)",80-07-9,5.1,n,66,n,        ,,        ,,1.1,n,,0.0065,n,,"Sulfonylbis(4-chlorobenzene), 1,1'-"
Sulfur Trioxide (7446-11-9),7446-11-9,140000,nm,600000,nm,0.1,n,0.44,n,0.21,n,,        ,n,,Sulfur Trioxide
Sulfuric Acid (7664-93-9),7664-93-9,140000,nm,600000,nm,0.1,n,0.44,n,        ,,,        ,,,Sulfuric Acid
"Sulfurous acid, 2-chloroethyl 2-[4-(1,1-dimethylethyl)phenoxy]-1-methylethyl ester (140-57-8)",140-57-8,22,c*,92,c*,0.4,c,1.7,c,1.3,c*,,0.015,c*,,"Sulfurous acid, 2-chloroethyl 2-[4-(1,1-dimethylethyl)phenoxy]-1-methylethyl ester"
TCMTB (21564-17-0),21564-17-0,190,n,2500,n,        ,,        ,,48,n,,0.33,n,,TCMTB
Tebuthiuron (34014-18-1),34014-18-1,440,n,5700,n,        ,,        ,,140,n,,0.039,n,,Tebuthiuron
Temephos (3383-96-8),3383-96-8,130,n,1600,n,        ,,        ,,40,n,,7.6,n,,Temephos
Terbacil (5902-51-2),5902-51-2,82,n,1100,n,        ,,        ,,25,n,,0.0075,n,,Terbacil
Terbufos (13071-79-9),13071-79-9,0.2,n,2.9,n,        ,,        ,,0.024,n,,5.2E-05,n,,Terbufos
Terbutryn (886-50-0),886-50-0,6.3,n,82,n,        ,,        ,,1.3,n,,0.0019,n,,Terbutryn
"Tetrabromodiphenyl ether, 2,2',4,4'- (BDE-47) (5436-43-1)",5436-43-1,0.63,n,8.2,n,        ,,        ,,0.2,n,,0.0053,n,,"Tetrabromodiphenyl ether, 2,2',4,4'- (BDE-47)"
"Tetrachlorobenzene, 1,2,4,5- (95-94-3)",95-94-3,2.3,n,35,n,        ,,        ,,0.17,n,,0.00079,n,,"Tetrachlorobenzene, 1,2,4,5-"
"Tetrachloroethane, 1,1,1,2- (630-20-6)",630-20-6,2,c,8.8,c,0.38,c,1.7,c,0.57,c*,,0.00022,c*,,"Tetrachloroethane, 1,1,1,2-"
"Tetrachloroethane, 1,1,2,2- (79-34-5)",79-34-5,0.6,c,2.7,c,0.048,c,0.21,c,0.076,c,,3E-05,c,,"Tetrachloroethane, 1,1,2,2-"
Tetrachloroethylene (127-18-4),127-18-4,8.1,n,39,n,4.2,n,18,n,4.1,n,5,0.0018,n,0.0023,Tetrachloroethylene
"Tetrachlorophenol, 2,3,4,6- (58-90-2)",58-90-2,190,n,2500,n,        ,,        ,,24,n,,0.018,n,,"Tetrachlorophenol, 2,3,4,6-"
"Tetrachlorotoluene, p- alpha, alpha, alpha- (5216-25-1)",5216-25-1,0.035,c,0.16,c,        ,,        ,,0.0013,c,,4.5E-06,c,,"Tetrachlorotoluene, p- alpha, alpha, alpha-"
Tetraethyl Dithiopyrophosphate (3689-24-5),3689-24-5,3.2,n,41,n,        ,,        ,,0.71,n,,0.00052,n,,Tetraethyl Dithiopyrophosphate
"Tetrafluoroethane, 1,1,1,2- (811-97-2)",811-97-2,10000,ns,43000,ns,8300,n,35000,n,17000,n,,9.3,n,,"Tetrafluoroethane, 1,1,1,2-"
Tetryl (Trinitrophenylmethylnitramine) (479-45-8),479-45-8,16,n,230,n,        ,,        ,,3.9,n,,0.037,n,,Tetryl (Trinitrophenylmethylnitramine)
Thallic Oxide (1314-32-5),1314-32-5,0.16,n,2.3,n,        ,,        ,,0.04,n,,        ,n,,Thallic Oxide
Thallium (I) Nitrate (10102-45-1),10102-45-1,0.078,n,1.2,n,        ,,        ,,0.02,n,,        ,n,,Thallium (I) Nitrate
Thallium (Soluble Salts) (7440-28-0),7440-28-0,0.078,n,1.2,n,        ,,        ,,0.02,n,2,0.0014,n,0.14,Thallium (Soluble Salts)
Thallium Acetate (563-68-8),563-68-8,0.078,n,1.2,n,        ,,        ,,0.02,n,,4.1E-06,n,,Thallium Acetate
Thallium Carbonate (6533-73-9),6533-73-9,0.16,n,2.3,n,        ,,        ,,0.04,n,,8.3E-06,n,,Thallium Carbonate
Thallium Chloride (7791-12-0),7791-12-0,0.078,n,1.2,n,        ,,        ,,0.02,n,,        ,n,,Thallium Chloride
Thallium Selenite (12039-52-0),12039-52-0,0.078,n,1.2,n,        ,,        ,,0.02,n,,        ,n,,Thallium Selenite
Thallium Sulfate (7446-18-6),7446-18-6,0.16,n,2.3,n,        ,,        ,,0.04,n,,        ,n,,Thallium Sulfate
Thifensulfuron-methyl (79277-27-3),79277-27-3,270,n,3500,n,        ,,        ,,86,n,,0.026,n,,Thifensulfuron-methyl
Thiobencarb (28249-77-6),28249-77-6,63,n,820,n,        ,,        ,,16,n,,0.055,n,,Thiobencarb
Thiodiglycol (111-48-8),111-48-8,540,n,7900,n,        ,,        ,,140,n,,0.028,n,,Thiodiglycol
Thiofanox (39196-18-4),39196-18-4,1.9,n,25,n,        ,,        ,,0.53,n,,0.00018,n,,Thiofanox
"Thiophanate, Methyl (23564-05-8)",23564-05-8,47,c**,200,c*,        ,,        ,,6.7,c**,,0.0057,c**,,"Thiophanate, Methyl"
Thiram (137-26-8),137-26-8,95,n,1200,n,        ,,        ,,29,n,,0.042,n,,Thiram
Tin (7440-31-5),7440-31-5,4700,n,70000,n,        ,,        ,,1200,n,,300,n,,Tin
Titanium Tetrachloride (7550-45-0),7550-45-0,14000,n,60000,n,0.01,n,0.044,n,0.021,n,,        ,n,,Titanium Tetrachloride
Toluene (108-88-3),108-88-3,490,n,4700,ns,520,n,2200,n,110,n,1000,0.076,n,0.69,Toluene
"Toluene-2,4-diisocyanate (584-84-9)",584-84-9,0.64,n,2.7,n,0.00083,n,0.0035,n,0.0017,n,,2.5E-05,n,,"Toluene-2,4-diisocyanate"
"Toluene-2,5-diamine (95-70-5)",95-70-5,1.3,n,13,c**,        ,,        ,,0.4,n,,0.00012,n,,"Toluene-2,5-diamine"
"Toluene-2,6-diisocyanate (91-08-7)",91-08-7,0.53,n,2.2,n,0.00083,n,0.0035,n,0.0017,n,,2.6E-05,n,,"Toluene-2,6-diisocyanate"
"Toluic Acid, p- (99-94-5)",99-94-5,32,n,410,n,        ,,        ,,9,n,,0.0023,n,,"Toluic Acid, p-"
"Toluidine, o- (Methylaniline, 2-) (95-53-4)",95-53-4,34,c,140,c,0.055,c,0.24,c,4.7,c,,0.002,c,,"Toluidine, o- (Methylaniline, 2-)"
"Toluidine, p- (106-49-0)",106-49-0,18,c**,77,c**,        ,,        ,,2.5,c**,,0.0011,c**,,"Toluidine, p-"
Total Petroleum Hydrocarbons (Aliphatic High) (E1790670),E1790670,23000,ns,350000,nms,        ,,        ,,6000,n,,240,n,,Total Petroleum Hydrocarbons (Aliphatic High)
Total Petroleum Hydrocarbons (Aliphatic Low) (E1790666),E1790666,52,n,220,ns,63,n,260,n,130,n,,0.88,n,,Total Petroleum Hydrocarbons (Aliphatic Low)
Total Petroleum Hydrocarbons (Aliphatic Medium) (E1790668),E1790668,9.6,ns,44,ns,10,n,44,n,10,n,,0.15,n,,Total Petroleum Hydrocarbons (Aliphatic Medium)
Total Petroleum Hydrocarbons (Aromatic High) (E1790676),E1790676,250,n,3300,n,        ,,        ,,80,n,,8.9,n,,Total Petroleum Hydrocarbons (Aromatic High)
Total Petroleum Hydrocarbons (Aromatic Low) (E1790672),E1790672,8.2,n,42,n,3.1,n,13,n,3.3,n,,0.0017,n,,Total Petroleum Hydrocarbons (Aromatic Low)
Total Petroleum Hydrocarbons (Aromatic Medium) (E1790674),E1790674,11,n,60,n,0.31,n,1.3,n,0.55,n,,0.0023,n,,Total Petroleum Hydrocarbons (Aromatic Medium)
