Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)",Analyte
Arsine (7784-42-1),7784-42-1,0.027,n,0.41,n,0.0052,n,0.022,n,0.007,n,,        ,n,,Arsine
Asulam (3337-71-1),3337-71-1,230,n,3000,n,        ,,        ,,72,n,,0.018,n,,Asulam
Atrazine (1912-24-9),1912-24-9,2.4,c*,10,c,        ,,        ,,0.3,c,3,0.0002,c,0.0019,Atrazine
Auramine (492-80-8),492-80-8,0.62,c,2.6,c,0.011,c,0.049,c,0.067,c,,0.00061,c,,Auramine
Avermectin B1 (65195-55-3),65195-55-3,2.5,n,33,n,        ,,        ,,0.8,n,,1.4,n,,Avermectin B1
Azinphos-methyl (86-50-0),86-50-0,19,n,250,n,1,n,4.4,n,5.6,n,,0.0017,n,,Azinphos-methyl
Azobenzene (103-33-3),103-33-3,5.6,c,26,c,0.091,c,0.4,c,0.12,c,,0.00093,c,,Azobenzene
Azodicarbonamide (123-77-3),123-77-3,860,n,4000,n,0.00073,n,0.0031,n,2000,n,,0.68,n,,Azodicarbonamide
Barium (7440-39-3),7440-39-3,1500,n,22000,n,0.052,n,0.22,n,380,n,2000,16,n,82,Barium
Benfluralin (1861-40-1),1861-40-1,39,n,580,n,        ,,        ,,2.8,n,,0.094,n,,Benfluralin
Benomyl (17804-35-2),17804-35-2,320,n,4100,n,        ,,        ,,97,n,,0.085,n,,Benomyl
Bensulfuron-methyl (83055-99-6),83055-99-6,1300,n,16000,n,        ,,        ,,390,n,,0.1,n,,Bensulfuron-methyl
Bentazon (25057-89-0),25057-89-0,190,n,2500,n,        ,,        ,,57,n,,0.012,n,,Bentazon
Benzaldehyde (100-52-7),100-52-7,170,c**,820,c*,        ,,        ,,19,c*,,0.0041,c*,,Benzaldehyde
Benzene (71-43-2),71-43-2,1.2,c**,5.1,c**,0.36,c**,1.6,c**,0.46,c**,5,0.00023,c**,0.0026,Benzene
"Benzenediamine-2-methyl sulfate, 1,4- (6369-59-1)",6369-59-1,1.9,n,23,c**,        ,,        ,,0.6,n,,0.00017,n,,"Benzenediamine-2-methyl sulfate, 1,4-"
