Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)"
"Pentachlorobiphenyl, 2,3,4,4',5- (PCB 114)",74472-37-0,1.2E-01,c*,5.0E-01,c*,2.5E-03,c,1.1E-02,c,4.0E-03,c,,1.0E-03,c,        
"Pentachlorobiphenyl, 2,3',4,4',5- (PCB 118)",31508-00-6,1.2E-01,c*,4.9E-01,c*,2.5E-03,c,1.1E-02,c,4.0E-03,c,,1.0E-03,c,        
"Pentachlorobiphenyl, 2',3,4,4',5- (PCB 123)",65510-44-3,1.2E-01,c*,4.9E-01,c*,2.5E-03,c,1.1E-02,c,4.0E-03,c,,1.0E-03,c,        
"Pentachlorobiphenyl, 3,3',4,4',5- (PCB 126)",57465-28-8,3.6E-05,c*,1.5E-04,c*,7.4E-07,c,3.2E-06,c,1.2E-06,c,,3.0E-07,c,        
Perchlorate and Perchlorate Salts,14797-73-0,5.5E+01,n,8.2E+02,n,        ,,        ,,1.4E+01,n,1.5E+01(F),        ,n,        
Phenylmercuric Acetate,62-38-4,5.1E+00,n,6.6E+01,n,        ,,        ,,1.6E+00,n,,5.0E-04,n,        
"Phthalic Acid, P-",100-21-0,6.3E+04,n,8.2E+05,nm,        ,,        ,,1.9E+04,n,,6.8E+00,n,        
Phthalic Anhydride,85-44-9,1.3E+05,nm,1.6E+06,nm,2.1E+01,n,8.8E+01,n,3.9E+04,n,,8.5E+00,n,        
Polychlorinated Biphenyls (high risk),1336-36-3,2.3E-01,c,9.4E-01,c,4.9E-03,c,2.1E-02,c,        ,,5.0E-01,        ,,        
Polychlorinated Biphenyls (low risk),1336-36-3,        ,,        ,,2.8E-02,c,1.2E-01,c,4.4E-02,c,5.0E-01,6.8E-03,c,7.8E-02
Polychlorinated Biphenyls (lowest risk),1336-36-3,        ,,        ,,1.4E-01,c,6.1E-01,c,        ,,5.0E-01,        ,,        
Polyphosphoric acid,8017-16-1,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Potassium Cyanide,151-50-8,1.6E+02,n,2.3E+03,n,        ,,        ,,4.0E+01,n,,        ,n,        
Potassium Perchlorate,7778-74-7,5.5E+01,n,8.2E+02,n,        ,,        ,,1.4E+01,n,,        ,n,        
Potassium Silver Cyanide,506-61-6,3.9E+02,n,5.8E+03,n,        ,,        ,,8.2E+01,n,,        ,n,        
Potassium tripolyphosphate,13845-36-8,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Pyrene,129-00-0,1.8E+03,n,2.3E+04,n,        ,,        ,,1.2E+02,n,,1.3E+01,n,        
Silver Cyanide,506-64-9,7.8E+03,n,1.2E+05,nm,        ,,        ,,1.8E+03,n,,        ,n,        
Sodium acid pyrophosphate,7758-16-9,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Sodium aluminum phosphate (acidic),7785-88-8,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Sodium aluminum phosphate (anhydrous),10279-59-1,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Sodium aluminum phosphate (tetrahydrate),10305-76-7,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Sodium Cyanide,143-33-9,7.8E+01,n,1.2E+03,n,        ,,        ,,2.0E+01,n,2.0E+02,        ,n,        
Sodium hexametaphosphate,10124-56-8,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Sodium Perchlorate,7601-89-0,5.5E+01,n,8.2E+02,n,        ,,        ,,1.4E+01,n,,        ,n,        
Sodium polyphosphate,68915-31-1,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Sodium trimetaphosphate,7785-84-4,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Sodium tripolyphosphate,7758-29-4,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
"TCDD, 2,3,7,8-",1746-01-6,4.8E-06,c*,2.2E-05,c*,7.4E-08,c,3.2E-07,c,1.2E-07,c,3.0E-05,5.9E-08,c,1.5E-05
"Tetrachlorobiphenyl, 3,3',4,4'- (PCB 77)",32598-13-3,3.8E-02,c*,1.6E-01,c*,7.4E-04,c,3.2E-03,c,6.0E-03,c*,,9.4E-04,c*,        
"Tetrachlorobiphenyl, 3,4,4',5- (PCB 81)",70362-50-4,1.2E-02,c*,4.8E-02,c*,2.5E-04,c,1.1E-03,c,4.0E-04,c,,6.2E-05,c,        
Tetraethyl Lead,78-00-2,7.8E-03,n,1.2E-01,n,        ,,        ,,1.3E-03,n,,4.7E-06,n,        
Tetrahydrofuran,109-99-9,1.8E+04,n,9.4E+04,n,2.1E+03,n,8.8E+03,n,3.4E+03,n,,7.5E-01,n,        
Tetrapotassium phosphate,7320-34-5,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Tetrasodium pyrophosphate,7722-88-5,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Thiocyanates,E1790664,1.6E+01,n,2.3E+02,n,        ,,        ,,4.0E+00,n,,        ,n,        
Thiocyanic Acid,463-56-9,1.6E+01,n,2.3E+02,n,        ,,        ,,4.0E+00,n,,        ,n,        
Trialuminum sodium tetra decahydrogenoctaorthophosphate (dihydrate),15136-87-5,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Tricalcium phosphate,7758-87-4,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Trimagnesium phosphate,7757-87-1,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Tripotassium phosphate,7778-53-2,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Trisodium phosphate,7601-54-9,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Zinc Cyanide,557-21-1,3.9E+03,n,5.8E+04,n,        ,,        ,,1.0E+03,n,,        ,n,        
Acephate,30560-19-1,7.6E+01,n,9.8E+02,n,        ,,        ,,2.4E+01,n,,5.3E-03,n,        
Acetaldehyde,75-07-0,1.1E+01,c**,4.9E+01,c**,1.3E+00,c**,5.6E+00,c**,2.6E+00,c**,,5.2E-04,c**,        
Acetochlor,34256-82-1,1.3E+03,n,1.6E+04,n,        ,,        ,,3.5E+02,n,,2.8E-01,n,        
Acetone,67-64-1,6.1E+04,n,6.7E+05,nms,3.2E+04,n,1.4E+05,n,1.4E+04,n,,2.9E+00,n,        
Acetone Cyanohydrin,75-86-5,2.8E+06,nm,1.2E+07,nm,2.1E+00,n,8.8E+00,n,        ,,,        ,,        
Acetonitrile,75-05-8,8.1E+02,n,3.4E+03,n,6.3E+01,n,2.6E+02,n,1.3E+02,n,,2.6E-02,n,        
Acetophenone,98-86-2,7.8E+03,ns,1.2E+05,nms,        ,,        ,,1.9E+03,n,,5.8E-01,n,        
"Acetylaminofluorene, 2-",53-96-3,1.4E-01,c,6.0E-01,c,2.2E-03,c,9.4E-03,c,1.6E-02,c,,7.2E-05,c,        
Acrolein,107-02-8,1.4E-01,n,6.0E-01,n,2.1E-02,n,8.8E-02,n,4.2E-02,n,,8.4E-06,n,        
Acrylamide,79-06-1,2.4E-01,c,4.6E+00,c,1.0E-02,c,1.2E-01,c,5.0E-02,c,,1.1E-05,c,        
Acrylic Acid,79-10-7,9.9E+01,n,4.2E+02,n,1.0E+00,n,4.4E+00,n,2.1E+00,n,,4.2E-04,n,        
Acrylonitrile,107-13-1,2.5E-01,c*,1.1E+00,c*,4.1E-02,c*,1.8E-01,c*,5.2E-02,c*,,1.1E-05,c*,        
Adiponitrile,111-69-3,8.5E+06,nm,3.6E+07,nm,6.3E+00,n,2.6E+01,n,        ,,,        ,,        
Alachlor,15972-60-8,9.7E+00,c*,4.1E+01,c,        ,,        ,,1.1E+00,c,2.0E+00,8.7E-04,c,1.6E-03
Aldicarb,116-06-3,6.3E+01,n,8.2E+02,n,        ,,        ,,2.0E+01,n,3.0E+00,4.9E-03,n,7.5E-04
Aldicarb Sulfone,1646-88-4,6.3E+01,n,8.2E+02,n,        ,,        ,,2.0E+01,n,2.0E+00,4.4E-03,n,4.4E-04
Aldicarb sulfoxide,1646-87-3,        ,,        ,,        ,,        ,,        ,,4.0E+00,        ,,8.8E-04
Aldrin,309-00-2,3.9E-02,c*,1.8E-01,c,5.7E-04,c,2.5E-03,c,9.2E-04,c,,1.5E-04,c,        
Allyl Alcohol,107-18-6,3.5E+00,n,1.5E+01,n,1.0E-01,n,4.4E-01,n,2.1E-01,n,,4.2E-05,n,        
Allyl Chloride,107-05-1,7.2E-01,c**,3.2E+00,c**,4.7E-01,c**,2.0E+00,c**,7.3E-01,c**,,2.3E-04,c**,        
Aluminum,7429-90-5,7.7E+04,n,1.1E+06,nm,5.2E+00,n,2.2E+01,n,2.0E+04,n,,3.0E+04,n,        
Aluminum Phosphide,20859-73-8,3.1E+01,n,4.7E+02,n,        ,,        ,,8.0E+00,n,,        ,n,        
Ametryn,834-12-8,5.7E+02,n,7.4E+03,n,        ,,        ,,1.5E+02,n,,1.6E-01,n,        
"Aminobiphenyl, 4-",92-67-1,2.6E-02,c,1.1E-01,c,4.7E-04,c,2.0E-03,c,3.0E-03,c,,1.5E-05,c,        
"Aminophenol, m-",591-27-5,5.1E+03,n,6.6E+04,n,        ,,        ,,1.6E+03,n,,6.1E-01,n,        
"Aminophenol, o-",95-55-6,2.5E+02,n,3.3E+03,n,        ,,        ,,7.9E+01,n,,3.0E-02,n,        
"Aminophenol, p-",123-30-8,1.3E+03,n,1.6E+04,n,        ,,        ,,4.0E+02,n,,1.5E-01,n,        
Amitraz,33089-61-1,1.6E+02,n,2.1E+03,n,        ,,        ,,8.2E+00,n,,4.2E+00,n,        
Ammonia,7664-41-7,        ,,        ,,5.2E+02,n,2.2E+03,n,        ,,,        ,,        
Ammonium Sulfamate,7773-06-0,1.6E+04,n,2.3E+05,nm,        ,,        ,,4.0E+03,n,,        ,n,        
"Amyl Alcohol, tert-",75-85-4,8.2E+01,n,3.4E+02,n,3.1E+00,n,1.3E+01,n,6.3E+00,n,,1.3E-03,n,        
Aniline,62-53-3,9.5E+01,c**,4.0E+02,c*,1.0E+00,n,4.4E+00,n,1.3E+01,c*,,4.6E-03,c*,        
"Anthraquinone, 9,10-",84-65-1,1.4E+01,c**,5.7E+01,c*,        ,,        ,,1.4E+00,c*,,1.4E-02,c*,        
Antimony (metallic),7440-36-0,3.1E+01,n,4.7E+02,n,        ,,        ,,7.8E+00,n,6.0E+00,3.5E-01,n,2.7E-01
Antimony Pentoxide,1314-60-9,3.9E+01,n,5.8E+02,n,        ,,        ,,9.7E+00,n,,        ,n,        
Antimony Tetroxide,1332-81-6,3.1E+01,n,4.7E+02,n,        ,,        ,,7.8E+00,n,,        ,n,        
Antimony Trioxide,1309-64-4,2.8E+05,nm,1.2E+06,nm,2.1E-01,n,8.8E-01,n,        ,,,        ,,        
"Arsenic, Inorganic",7440-38-2,6.8E-01,c*R,3.0E+00,cR,6.5E-04,c*,2.9E-03,c*,5.2E-02,c,1.0E+01,1.5E-03,c,2.9E-01
Arsine,7784-42-1,2.7E-01,n,4.1E+00,n,5.2E-02,n,2.2E-01,n,7.0E-02,n,,        ,n,        
