Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)"
Nickel Carbonate,3333-67-3,6.7E+02,n,8.1E+03,n,1.1E-02,c**,4.7E-02,c**,2.2E+02,n,,        ,n,        
Nickel Carbonyl,13463-39-3,8.2E+02,n,1.1E+04,n,1.1E-02,c**,4.7E-02,c**,2.2E-02,c**,,        ,c**,        
Nickel Hydroxide,12054-48-7,8.2E+02,n,1.1E+04,n,1.1E-02,c**,4.7E-02,c**,2.0E+02,n,,        ,n,        
Nickel Oxide,1313-99-1,8.4E+02,n,1.2E+04,n,1.1E-02,c**,4.7E-02,c**,2.0E+02,n,,        ,n,        
Nickel Refinery Dust,E715532,8.2E+02,n,1.1E+04,n,1.2E-02,c**,5.1E-02,c**,2.2E+02,n,,3.2E+01,n,        
Nickel Soluble Salts,7440-02-0,1.5E+03,n,2.2E+04,n,1.1E-02,c**,4.7E-02,c**,3.9E+02,n,,2.6E+01,n,        
Nickel Subsulfide,12035-72-2,4.1E-01,c,1.9E+00,c,5.8E-03,c**,2.6E-02,c**,4.5E-02,c,,        ,c,        
Nickelocene,1271-28-9,6.7E+02,n,8.1E+03,n,1.1E-02,c**,4.7E-02,c**,2.2E+02,n,,        ,n,        
Nitrate,14797-55-8,1.3E+05,nm,1.9E+06,nm,        ,,        ,,3.2E+04,n,1.0E+04,        ,n,        
Nitrate + Nitrite (as N),E701177,        ,,        ,,        ,,        ,,        ,,1.0E+04,        ,,        
Nitrite,14797-65-0,7.8E+03,n,1.2E+05,nm,        ,,        ,,2.0E+03,n,1.0E+03,        ,n,        
"Nitroaniline, 2-",88-74-4,6.3E+02,n,8.0E+03,n,5.2E-02,n,2.2E-01,n,1.9E+02,n,,8.0E-02,n,        
"Nitroaniline, 4-",100-01-6,2.7E+01,c**,1.1E+02,c*,6.3E+00,n,2.6E+01,n,3.8E+00,c*,,1.6E-03,c*,        
Nitrobenzene,98-95-3,5.1E+00,c*,2.2E+01,c*,7.0E-02,c,3.1E-01,c,1.4E-01,c*,,9.2E-05,c*,        
Nitrocellulose,9004-70-0,1.9E+08,nm,2.5E+09,nm,        ,,        ,,6.0E+07,n,,1.3E+04,n,        
Nitrofurantoin,67-20-9,4.4E+03,n,5.7E+04,n,        ,,        ,,1.4E+03,n,,6.1E-01,n,        
Nitrofurazone,59-87-0,4.2E-01,c,1.8E+00,c,7.6E-03,c,3.3E-02,c,6.0E-02,c,,5.4E-05,c,        
Nitroglycerin,55-63-0,6.3E+00,n,8.2E+01,n,        ,,        ,,2.0E+00,n,,8.5E-04,n,        
Nitroguanidine,556-88-7,6.3E+03,n,8.2E+04,n,        ,,        ,,2.0E+03,n,,4.8E-01,n,        
Nitromethane,75-52-5,5.4E+00,c*,2.4E+01,c*,3.2E-01,c*,1.4E+00,c*,6.4E-01,c*,,1.4E-04,c*,        
"Nitropropane, 2-",79-46-9,1.4E-02,c,6.0E-02,c,1.0E-03,c,4.5E-03,c,2.1E-03,c,,5.4E-07,c,        
"Nitrosodiethanolamine, N-",1116-54-7,1.9E-01,c,8.2E-01,c,3.5E-03,c,1.5E-02,c,2.8E-02,c,,5.6E-06,c,        
"Nitrosodiethylamine, N-",55-18-5,8.1E-04,c,1.5E-02,c,2.4E-05,c,2.9E-04,c,1.7E-04,c,,6.1E-08,c,        
"Nitrosodimethylamine, N-",62-75-9,2.0E-03,c,3.4E-02,c,7.2E-05,c,8.8E-04,c,1.1E-04,c,,2.7E-08,c,        
"Nitroso-di-N-butylamine, N-",924-16-3,9.9E-02,c,4.6E-01,c,1.8E-03,c,7.7E-03,c,2.7E-03,c,,5.5E-06,c,        
"Nitroso-di-N-propylamine, N-",621-64-7,7.8E-02,c,3.3E-01,c,1.4E-03,c,6.1E-03,c,1.1E-02,c,,8.1E-06,c,        
"Nitrosodiphenylamine, N-",86-30-6,1.1E+02,c,4.7E+02,c,1.1E+00,c,4.7E+00,c,1.2E+01,c,,6.7E-02,c,        
"Nitrosomethylethylamine, N-",10595-95-6,2.0E-02,c,9.1E-02,c,4.5E-04,c,1.9E-03,c,7.1E-04,c,,2.0E-07,c,        
Nitrosomorpholine [N-],59-89-2,8.1E-02,c,3.4E-01,c,1.5E-03,c,6.5E-03,c,1.2E-02,c,,2.8E-06,c,        
"Nitroso-N-ethylurea, N-",759-73-9,4.5E-03,c,8.5E-02,c,1.3E-04,c,1.6E-03,c,9.2E-04,c,,2.2E-07,c,        
"Nitroso-N-methylurea, N-",684-93-5,1.0E-03,c,1.9E-02,c,3.0E-05,c,3.6E-04,c,2.1E-04,c,,4.6E-08,c,        
Nitrosopiperidine [N-],100-75-4,5.8E-02,c,2.4E-01,c,1.0E-03,c,4.5E-03,c,8.2E-03,c,,4.4E-06,c,        
"Nitrosopyrrolidine, N-",930-55-2,2.6E-01,c,1.1E+00,c,4.6E-03,c,2.0E-02,c,3.7E-02,c,,1.4E-05,c,        
"Nitrotoluene, m-",99-08-1,6.3E+00,n,8.2E+01,n,        ,,        ,,1.7E+00,n,,1.6E-03,n,        
"Nitrotoluene, o-",88-72-2,3.2E+00,c*,1.5E+01,c*,        ,,        ,,3.1E-01,c*,,3.0E-04,c*,        
"Nitrotoluene, p-",99-99-0,3.4E+01,c**,1.4E+02,c*,        ,,        ,,4.3E+00,c*,,4.0E-03,c*,        
"Nonane, n-",111-84-2,1.1E+01,ns,7.2E+01,ns,2.1E+01,n,8.8E+01,n,5.3E+00,n,,7.5E-02,n,        
Norflurazon,27314-13-2,9.5E+02,n,1.2E+04,n,        ,,        ,,2.9E+02,n,,1.9E+00,n,        
Octabromodiphenyl Ether,32536-52-0,1.9E+02,n,2.5E+03,n,        ,,        ,,6.0E+01,n,,1.2E+01,n,        
"Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX)",2691-41-0,3.9E+03,n,5.7E+04,n,        ,,        ,,1.0E+03,n,,1.3E+00,n,        
Octamethylpyrophosphoramide,152-16-9,1.3E+02,n,1.6E+03,n,        ,,        ,,4.0E+01,n,,9.6E-03,n,        
Oryzalin,19044-88-3,7.0E+01,c,2.9E+02,c,        ,,        ,,7.9E+00,c,,1.5E-02,c,        
Oxadiazon,19666-30-9,3.2E+02,n,4.1E+03,n,        ,,        ,,4.7E+01,n,,4.8E-01,n,        
Oxamyl,23135-22-0,1.6E+03,n,2.1E+04,n,        ,,        ,,5.0E+02,n,2.0E+02,1.1E-01,n,4.4E-02
Oxyfluorfen,42874-03-3,7.4E+00,c,3.1E+01,c,        ,,        ,,5.4E-01,c,,4.3E-02,c,        
Paclobutrazol,76738-62-0,8.2E+02,n,1.1E+04,n,        ,,        ,,2.3E+02,n,,4.6E-01,n,        
Paraquat Dichloride,1910-42-5,2.8E+02,n,3.7E+03,n,        ,,        ,,9.0E+01,n,,1.2E+00,n,        
Parathion,56-38-2,3.8E+02,n,4.9E+03,n,        ,,        ,,8.6E+01,n,,4.3E-01,n,        
Pebulate,1114-71-2,3.9E+03,n,5.8E+04,n,        ,,        ,,5.6E+02,n,,4.5E-01,n,        
Pendimethalin,40487-42-1,1.9E+04,n,2.5E+05,nm,        ,,        ,,1.4E+03,n,,1.6E+01,n,        
Pentabromodiphenyl Ether,32534-81-9,1.6E+02,ns,2.3E+03,ns,        ,,        ,,4.0E+01,n,,1.7E+00,n,        
"Pentabromodiphenyl ether, 2,2',4,4',5- (BDE-99)",60348-60-9,6.3E+00,n,8.2E+01,n,        ,,        ,,2.0E+00,n,,8.7E-02,n,        
Pentachlorobenzene,608-93-5,6.3E+01,n,9.3E+02,n,        ,,        ,,3.2E+00,n,,2.4E-02,n,        
Pentachloroethane,76-01-7,7.7E+00,c,3.6E+01,c,        ,,        ,,6.5E-01,c,,3.1E-04,c,        
Pentachloronitrobenzene,82-68-8,2.7E+00,c*,1.3E+01,c,        ,,        ,,1.2E-01,c,,1.5E-03,c,        
Pentachlorophenol,87-86-5,1.0E+00,c,4.0E+00,c,5.5E-01,c,2.4E+00,c,4.1E-02,c,1.0E+00,5.7E-05,c,1.4E-03
Pentaerythritol tetranitrate (PETN),78-11-5,1.3E+02,n,5.7E+02,c**,        ,,        ,,1.9E+01,c**,,2.8E-02,c**,        
"Pentane, n-",109-66-0,8.1E+02,ns,3.4E+03,ns,1.0E+03,n,4.4E+03,n,2.1E+03,n,,1.0E+01,n,        
Perfluorobutane sulfonic acid (PFBS),375-73-5,1.3E+03,n,1.6E+04,n,        ,,        ,,4.0E+02,n,,1.3E-01,n,        
Perfluorobutanesulfonate,45187-15-3,1.3E+03,n,1.6E+04,n,        ,,        ,,4.0E+02,n,,1.3E-01,n,        
Permethrin,52645-53-1,3.2E+03,n,4.1E+04,n,        ,,        ,,1.0E+03,n,,2.4E+02,n,        
Phenacetin,62-44-2,2.5E+02,c,1.0E+03,c,4.5E+00,c,1.9E+01,c,3.4E+01,c,,9.7E-03,c,        
Phenmedipham,13684-63-4,1.5E+04,n,2.0E+05,nm,        ,,        ,,3.8E+03,n,,2.1E+01,n,        
Phenol,108-95-2,1.9E+04,n,2.5E+05,nm,2.1E+02,n,8.8E+02,n,5.8E+03,n,,3.3E+00,n,        
"Phenol, 2-(1-methylethoxy)-, methylcarbamate",114-26-1,2.5E+02,n,3.3E+03,n,        ,,        ,,7.8E+01,n,,2.5E-02,n,        
Phenothiazine,92-84-2,3.2E+01,n,4.1E+02,n,        ,,        ,,4.3E+00,n,,1.4E-02,n,        
Phenyl Isothiocyanate,103-72-0,1.6E+01,n,2.3E+02,ns,        ,,        ,,2.6E+00,n,,1.7E-03,n,        
"Phenylenediamine, m-",108-45-2,3.8E+02,n,4.9E+03,n,        ,,        ,,1.2E+02,n,,3.2E-02,n,        
"Phenylenediamine, o-",95-54-5,4.5E+00,c*,1.9E+01,c,        ,,        ,,6.5E-01,c,,1.7E-04,c,        
"Phenylenediamine, p-",106-50-3,6.3E+01,n,8.2E+02,n,        ,,        ,,2.0E+01,n,,5.4E-03,n,        
"Phenylphenol, 2-",90-43-7,2.8E+02,c,1.2E+03,c,        ,,        ,,3.0E+01,c,,4.1E-01,c,        
Phorate,298-02-2,1.3E+01,n,1.6E+02,n,        ,,        ,,3.0E+00,n,,3.4E-03,n,        
Phosgene,75-44-5,3.1E-01,n,1.3E+00,n,3.1E-01,n,1.3E+00,n,        ,,,        ,,        
Phosmet,732-11-6,1.3E+03,n,1.6E+04,n,        ,,        ,,3.7E+02,n,,8.2E-02,n,        
Phosphine,7803-51-2,2.3E+01,n,3.5E+02,n,3.1E-01,n,1.3E+00,n,5.7E-01,n,,        ,n,        
Phosphoric Acid,7664-38-2,3.0E+06,nm,2.9E+07,nm,1.0E+01,n,4.4E+01,n,9.7E+05,n,,        ,n,        
"Phosphorus, White",7723-14-0,1.6E+00,n,2.3E+01,n,        ,,        ,,4.0E-01,n,,1.5E-03,n,        
Picloram,1918-02-1,4.4E+03,n,5.7E+04,n,        ,,        ,,1.4E+03,n,5.0E+02,3.8E-01,n,1.4E-01
"Picramic Acid (2-Amino-4,6-dinitrophenol)",96-91-3,6.3E+00,n,8.2E+01,n,        ,,        ,,2.0E+00,n,,1.3E-03,n,        
"Picric Acid (2,4,6-Trinitrophenol)",88-89-1,5.7E+01,n,7.4E+02,n,        ,,        ,,1.8E+01,n,,8.4E-02,n,        
"Pirimiphos, Methyl",29232-93-7,4.4E+00,n,5.7E+01,n,        ,,        ,,8.5E-01,n,,8.1E-04,n,        
Polybrominated Biphenyls,59536-65-1,1.8E-02,c*,7.7E-02,c*,3.3E-04,c,1.4E-03,c,2.6E-03,c*,,        ,c*,        
Polymeric Methylene Diphenyl Diisocyanate (PMDI),9016-87-9,8.5E+05,nm,3.6E+06,nm,6.3E-01,n,2.6E+00,n,        ,,,        ,,        
Potassium Perfluorobutane Sulfonate,29420-49-3,1.3E+03,n,1.6E+04,n,        ,,        ,,4.0E+02,n,,        ,n,        
Prochloraz,67747-09-5,3.6E+00,c,1.5E+01,c,        ,,        ,,3.8E-01,c,,1.9E-03,c,        
Profluralin,26399-36-0,4.7E+02,n,7.0E+03,n,        ,,        ,,2.6E+01,n,,1.6E+00,n,        
Prometon,1610-18-0,9.5E+02,n,1.2E+04,n,        ,,        ,,2.5E+02,n,,1.2E-01,n,        
Prometryn,7287-19-6,2.5E+03,n,3.3E+04,n,        ,,        ,,6.0E+02,n,,9.0E-01,n,        
Propachlor,1918-16-7,8.2E+02,n,1.1E+04,n,        ,,        ,,2.5E+02,n,,1.5E-01,n,        
Propanil,709-98-8,3.2E+02,n,4.1E+03,n,        ,,        ,,8.2E+01,n,,4.5E-02,n,        
Propargite,2312-35-8,2.8E+00,c,1.2E+01,c,        ,,        ,,1.6E-01,c,,1.1E-02,c,        
Propargyl Alcohol,107-19-7,1.6E+02,n,2.3E+03,n,        ,,        ,,4.0E+01,n,,8.1E-03,n,        
Propazine,139-40-2,1.3E+03,n,1.6E+04,n,        ,,        ,,3.4E+02,n,,3.0E-01,n,        
Propham,122-42-9,1.3E+03,n,1.6E+04,n,        ,,        ,,3.5E+02,n,,2.2E-01,n,        
Propiconazole,60207-90-1,6.3E+03,n,8.2E+04,n,        ,,        ,,1.6E+03,n,,5.3E+00,n,        
Propionaldehyde,123-38-6,7.5E+01,n,3.1E+02,n,8.3E+00,n,3.5E+01,n,1.7E+01,n,,3.4E-03,n,        
Propyl benzene,103-65-1,3.8E+03,ns,2.4E+04,ns,1.0E+03,n,4.4E+03,n,6.6E+02,n,,1.2E+00,n,        
Propylene,115-07-1,2.2E+03,ns,9.3E+03,ns,3.1E+03,n,1.3E+04,n,6.3E+03,n,,6.0E+00,n,        
Propylene Glycol,57-55-6,1.3E+06,nm,1.6E+07,nm,        ,,        ,,4.0E+05,n,,8.1E+01,n,        
Propylene Glycol Dinitrate,6423-43-4,3.9E+05,nm,1.6E+06,nm,2.8E-01,n,1.2E+00,n,        ,,,        ,,        
Propylene Glycol Monomethyl Ether,107-98-2,4.1E+04,n,3.7E+05,nms,2.1E+03,n,8.8E+03,n,3.2E+03,n,,6.5E-01,n,        
Propylene Oxide,75-56-9,2.1E+00,c,9.7E+00,c,7.6E-01,c*,3.3E+00,c*,2.7E-01,c,,5.6E-05,c,        
Propyzamide,23950-58-5,4.7E+03,n,6.2E+04,n,        ,,        ,,1.2E+03,n,,1.2E+00,n,        
Pyridine,110-86-1,7.8E+01,n,1.2E+03,n,        ,,        ,,2.0E+01,n,,6.8E-03,n,        
Quinalphos,13593-03-8,3.2E+01,n,4.1E+02,n,        ,,        ,,5.1E+00,n,,4.3E-02,n,        
Quinoline,91-22-5,1.8E-01,c,7.7E-01,c,        ,,        ,,2.4E-02,c,,7.8E-05,c,        
Quizalofop-ethyl,76578-14-8,5.7E+02,n,7.4E+03,n,        ,,        ,,1.2E+02,n,,1.9E+00,n,        
Refractory Ceramic Fibers,E715557,4.3E+07,nm,1.8E+08,nm,3.1E+01,n,1.3E+02,n,        ,,,        ,,        
Resmethrin,10453-86-8,1.9E+03,n,2.5E+04,n,        ,,        ,,6.7E+01,n,,4.2E+01,n,        
Ronnel,299-84-3,3.9E+03,n,5.8E+04,n,        ,,        ,,4.1E+02,n,,3.7E+00,n,        
Rotenone,83-79-4,2.5E+02,n,3.3E+03,n,        ,,        ,,6.1E+01,n,,3.2E+01,n,        
Safrole,94-59-7,5.5E-01,c,1.0E+01,c,1.6E-02,c,1.9E-01,c,9.6E-02,c,,5.9E-05,c,        
Selenious Acid,7783-00-8,3.9E+02,n,5.8E+03,n,        ,,        ,,1.0E+02,n,,        ,n,        
Selenium,7782-49-2,3.9E+02,n,5.8E+03,n,2.1E+01,n,8.8E+01,n,1.0E+02,n,5.0E+01,5.2E-01,n,2.6E-01
Selenium Sulfide,7446-34-6,3.9E+02,n,5.8E+03,n,2.1E+01,n,8.8E+01,n,1.0E+02,n,,        ,n,        
Sethoxydim,74051-80-2,8.8E+03,n,1.1E+05,nm,        ,,        ,,1.6E+03,n,,1.4E+01,n,        
"Silica (crystalline, respirable)",7631-86-9,4.3E+06,nm,1.8E+07,nm,3.1E+00,n,1.3E+01,n,        ,,,        ,,        
Silver,7440-22-4,3.9E+02,n,5.8E+03,n,        ,,        ,,9.4E+01,n,,8.0E-01,n,        
Simazine,122-34-9,4.5E+00,c*,1.9E+01,c,        ,,        ,,6.1E-01,c,4.0E+00,3.0E-04,c,2.0E-03
Sodium Acifluorfen,62476-59-9,8.2E+02,n,1.1E+04,n,        ,,        ,,2.6E+02,n,,2.1E+00,n,        
Sodium Azide,26628-22-8,3.1E+02,n,4.7E+03,n,        ,,        ,,8.0E+01,n,,        ,n,        
Sodium Diethyldithiocarbamate,148-18-5,2.0E+00,c,8.5E+00,c,        ,,        ,,2.9E-01,c,,1.8E-04,c,        
Sodium Fluoride,7681-49-4,3.9E+03,n,5.8E+04,n,1.4E+01,n,5.7E+01,n,1.0E+03,n,4.0E+03,        ,n,        
Sodium Fluoroacetate,62-74-8,1.3E+00,n,1.6E+01,n,        ,,        ,,4.0E-01,n,,8.1E-05,n,        
Sodium Metavanadate,13718-26-8,7.8E+01,n,1.2E+03,n,        ,,        ,,2.0E+01,n,,        ,n,        
Sodium Tungstate,13472-45-2,6.3E+01,n,9.3E+02,n,        ,,        ,,1.6E+01,n,,        ,n,        
Sodium Tungstate Dihydrate,10213-10-2,6.3E+01,n,9.3E+02,n,        ,,        ,,1.6E+01,n,,        ,n,        
Stirofos (Tetrachlorovinphos),961-11-5,2.3E+01,c*,9.6E+01,c,        ,,        ,,2.8E+00,c,,8.2E-03,c,        
"Strontium, Stable",7440-24-6,4.7E+04,n,7.0E+05,nm,        ,,        ,,1.2E+04,n,,4.2E+02,n,        
Strychnine,57-24-9,1.9E+01,n,2.5E+02,n,        ,,        ,,5.9E+00,n,,6.5E-02,n,        
Styrene,100-42-5,6.0E+03,ns,3.5E+04,ns,1.0E+03,n,4.4E+03,n,1.2E+03,n,1.0E+02,1.3E+00,n,1.1E-01
Styrene-Acrylonitrile (SAN) Trimer,,1.9E+02,n,2.5E+03,n,        ,,        ,,4.8E+01,n,,        ,n,        
Sulfolane,126-33-0,6.3E+01,n,8.2E+02,n,2.1E+00,n,8.8E+00,n,2.0E+01,n,,4.4E-03,n,        
"Sulfonylbis(4-chlorobenzene), 1,1'-",80-07-9,5.1E+01,n,6.6E+02,n,        ,,        ,,1.1E+01,n,,6.5E-02,n,        
Sulfur Trioxide,7446-11-9,1.4E+06,nm,6.0E+06,nm,1.0E+00,n,4.4E+00,n,2.1E+00,n,,        ,n,        
Sulfuric Acid,7664-93-9,1.4E+06,nm,6.0E+06,nm,1.0E+00,n,4.4E+00,n,        ,,,        ,,        
"Sulfurous acid, 2-chloroethyl 2-[4-(1,1-dimethylethyl)phenoxy]-1-methylethyl ester",140-57-8,2.2E+01,c,9.2E+01,c,4.0E-01,c,1.7E+00,c,1.3E+00,c,,1.5E-02,c,        
TCMTB,21564-17-0,1.9E+03,n,2.5E+04,n,        ,,        ,,4.8E+02,n,,3.3E+00,n,        
Tebuthiuron,34014-18-1,4.4E+03,n,5.7E+04,n,        ,,        ,,1.4E+03,n,,3.9E-01,n,        
Temephos,3383-96-8,1.3E+03,n,1.6E+04,n,        ,,        ,,4.0E+02,n,,7.6E+01,n,        
Terbacil,5902-51-2,8.2E+02,n,1.1E+04,n,        ,,        ,,2.5E+02,n,,7.5E-02,n,        
Terbufos,13071-79-9,2.0E+00,n,2.9E+01,n,        ,,        ,,2.4E-01,n,,5.2E-04,n,        
Terbutryn,886-50-0,6.3E+01,n,8.2E+02,n,        ,,        ,,1.3E+01,n,,1.9E-02,n,        
"Tetrabromodiphenyl ether, 2,2',4,4'- (BDE-47)",5436-43-1,6.3E+00,n,8.2E+01,n,        ,,        ,,2.0E+00,n,,5.3E-02,n,        
"Tetrachlorobenzene, 1,2,4,5-",95-94-3,2.3E+01,n,3.5E+02,n,        ,,        ,,1.7E+00,n,,7.9E-03,n,        
"Tetrachloroethane, 1,1,1,2-",630-20-6,2.0E+00,c,8.8E+00,c,3.8E-01,c,1.7E+00,c,5.7E-01,c,,2.2E-04,c,        
"Tetrachloroethane, 1,1,2,2-",79-34-5,6.0E-01,c,2.7E+00,c,4.8E-02,c,2.1E-01,c,7.6E-02,c,,3.0E-05,c,        
Tetrachloroethylene,127-18-4,2.4E+01,c**,1.0E+02,c**,1.1E+01,c**,4.7E+01,c**,1.1E+01,c**,5.0E+00,5.1E-03,c**,2.3E-03
"Tetrachlorophenol, 2,3,4,6-",58-90-2,1.9E+03,n,2.5E+04,n,        ,,        ,,2.4E+02,n,,1.8E-01,n,        
"Tetrachlorotoluene, p- alpha, alpha, alpha-",5216-25-1,3.5E-02,c,1.6E-01,c,        ,,        ,,1.3E-03,c,,4.5E-06,c,        
Tetraethyl Dithiopyrophosphate,3689-24-5,3.2E+01,n,4.1E+02,n,        ,,        ,,7.1E+00,n,,5.2E-03,n,        
"Tetrafluoroethane, 1,1,1,2-",811-97-2,1.0E+05,nms,4.3E+05,nms,8.3E+04,n,3.5E+05,n,1.7E+05,n,,9.3E+01,n,        
Tetryl (Trinitrophenylmethylnitramine),479-45-8,1.6E+02,n,2.3E+03,n,        ,,        ,,3.9E+01,n,,3.7E-01,n,        
Thallic Oxide,1314-32-5,1.6E+00,n,2.3E+01,n,        ,,        ,,4.0E-01,n,,        ,n,        
Thallium (I) Nitrate,10102-45-1,7.8E-01,n,1.2E+01,n,        ,,        ,,2.0E-01,n,,        ,n,        
Thallium (Soluble Salts),7440-28-0,7.8E-01,n,1.2E+01,n,        ,,        ,,2.0E-01,n,2.0E+00,1.4E-02,n,1.4E-01
Thallium Acetate,563-68-8,7.8E-01,n,1.2E+01,n,        ,,        ,,2.0E-01,n,,4.1E-05,n,        
Thallium Carbonate,6533-73-9,1.6E+00,n,2.3E+01,n,        ,,        ,,4.0E-01,n,,8.3E-05,n,        
Thallium Chloride,7791-12-0,7.8E-01,n,1.2E+01,n,        ,,        ,,2.0E-01,n,,        ,n,        
Thallium Selenite,12039-52-0,7.8E-01,n,1.2E+01,n,        ,,        ,,2.0E-01,n,,        ,n,        
Thallium Sulfate,7446-18-6,1.6E+00,n,2.3E+01,n,        ,,        ,,4.0E-01,n,,        ,n,        
Thifensulfuron-methyl,79277-27-3,2.7E+03,n,3.5E+04,n,        ,,        ,,8.6E+02,n,,2.6E-01,n,        
Thiobencarb,28249-77-6,6.3E+02,n,8.2E+03,n,        ,,        ,,1.6E+02,n,,5.5E-01,n,        
Thiodiglycol,111-48-8,5.4E+03,n,7.9E+04,n,        ,,        ,,1.4E+03,n,,2.8E-01,n,        
Thiofanox,39196-18-4,1.9E+01,n,2.5E+02,n,        ,,        ,,5.3E+00,n,,1.8E-03,n,        
"Thiophanate, Methyl",23564-05-8,4.7E+01,c*,2.0E+02,c,        ,,        ,,6.7E+00,c*,,5.7E-03,c*,        
Thiram,137-26-8,9.5E+02,n,1.2E+04,n,        ,,        ,,2.9E+02,n,,4.2E-01,n,        
Tin,7440-31-5,4.7E+04,n,7.0E+05,nm,        ,,        ,,1.2E+04,n,,3.0E+03,n,        
Titanium Tetrachloride,7550-45-0,1.4E+05,nm,6.0E+05,nm,1.0E-01,n,4.4E-01,n,2.1E-01,n,,        ,n,        
Toluene,108-88-3,4.9E+03,ns,4.7E+04,ns,5.2E+03,n,2.2E+04,n,1.1E+03,n,1.0E+03,7.6E-01,n,6.9E-01
"Toluene-2,4-diisocyanate",584-84-9,6.4E+00,n,2.7E+01,n,8.3E-03,n,3.5E-02,n,1.7E-02,n,,2.5E-04,n,        
"Toluene-2,5-diamine",95-70-5,3.0E+00,c**,1.3E+01,c*,        ,,        ,,4.3E-01,c**,,1.3E-04,c**,        
"Toluene-2,6-diisocyanate",91-08-7,5.3E+00,n,2.2E+01,n,8.3E-03,n,3.5E-02,n,1.7E-02,n,,2.6E-04,n,        
"Toluic Acid, p-",99-94-5,3.2E+02,n,4.1E+03,n,        ,,        ,,9.0E+01,n,,2.3E-02,n,        
"Toluidine, o- (Methylaniline, 2-)",95-53-4,3.4E+01,c,1.4E+02,c,5.5E-02,c,2.4E-01,c,4.7E+00,c,,2.0E-03,c,        
"Toluidine, p-",106-49-0,1.8E+01,c*,7.7E+01,c*,        ,,        ,,2.5E+00,c*,,1.1E-03,c*,        
Total Petroleum Hydrocarbons (Aliphatic High),E1790670,2.3E+05,nms,3.5E+06,nms,        ,,        ,,6.0E+04,n,,2.4E+03,n,        
Total Petroleum Hydrocarbons (Aliphatic Low),E1790666,5.2E+02,ns,2.2E+03,ns,6.3E+02,n,2.6E+03,n,1.3E+03,n,,8.8E+00,n,        
Total Petroleum Hydrocarbons (Aliphatic Medium),E1790668,9.6E+01,ns,4.4E+02,ns,1.0E+02,n,4.4E+02,n,1.0E+02,n,,1.5E+00,n,        
Total Petroleum Hydrocarbons (Aromatic High),E1790676,2.5E+03,n,3.3E+04,n,        ,,        ,,8.0E+02,n,,8.9E+01,n,        
Total Petroleum Hydrocarbons (Aromatic Low),E1790672,8.2E+01,n,4.2E+02,n,3.1E+01,n,1.3E+02,n,3.3E+01,n,,1.7E-02,n,        
Total Petroleum Hydrocarbons (Aromatic Medium),E1790674,1.1E+02,n,6.0E+02,n,3.1E+00,n,1.3E+01,n,5.5E+00,n,,2.3E-02,n,        
Toxaphene,8001-35-2,4.9E-01,c,2.1E+00,c,8.8E-03,c,3.8E-02,c,7.1E-02,c,3.0E+00,1.1E-02,c,4.6E-01
Tralomethrin,66841-25-6,4.7E+02,n,6.2E+03,n,        ,,        ,,1.5E+02,n,,5.8E+01,n,        
Triacetin,102-76-1,5.1E+06,nm,6.6E+07,nm,        ,,        ,,1.6E+06,n,,4.5E+02,n,        
Triadimefon,43121-43-3,2.1E+03,n,2.8E+04,n,        ,,        ,,6.3E+02,n,,5.0E-01,n,        
Triallate,2303-17-5,9.7E+00,c,4.6E+01,c,        ,,        ,,4.7E-01,c,,1.0E-03,c,        
Triasulfuron,82097-50-5,6.3E+02,n,8.2E+03,n,        ,,        ,,2.0E+02,n,,2.1E-01,n,        
Tribenuron-methyl,101200-48-0,5.1E+02,n,6.6E+03,n,        ,,        ,,1.6E+02,n,,6.1E-02,n,        
"Tribromobenzene, 1,2,4-",615-54-3,3.9E+02,n,5.8E+03,n,        ,,        ,,4.5E+01,n,,6.4E-02,n,        
"Tribromophenol, 2,4,6-",118-79-6,5.7E+02,n,7.4E+03,n,        ,,        ,,1.2E+02,n,,2.2E-01,n,        
Tributyl Phosphate,126-73-8,6.0E+01,c*,2.6E+02,c*,        ,,        ,,5.2E+00,c*,,2.5E-02,c*,        
Tributyltin Compounds,E1790678,1.9E+01,n,2.5E+02,n,        ,,        ,,6.0E+00,n,,        ,n,        
Tributyltin Oxide,56-35-9,1.9E+01,n,2.5E+02,n,        ,,        ,,5.7E+00,n,,2.9E+02,n,        
"Trichloro-1,2,2-trifluoroethane, 1,1,2-",76-13-1,6.7E+03,ns,2.8E+04,ns,5.2E+03,n,2.2E+04,n,1.0E+04,n,,2.6E+01,n,        
Trichloroacetic Acid,76-03-9,7.8E+00,c,3.3E+01,c,        ,,        ,,1.1E+00,c,6.0E+01,2.2E-04,c,1.2E-02
"Trichloroaniline HCl, 2,4,6-",33663-50-2,1.9E+01,c,7.9E+01,c,        ,,        ,,2.7E+00,c,,7.4E-03,c,        
"Trichloroaniline, 2,4,6-",634-93-5,1.9E+00,n,2.5E+01,n,        ,,        ,,4.0E-01,n,,3.6E-03,n,        
